1.526,0,0.31321
1.1669,0,0.31339
1.0295,0,0.20458
0.97409,0,0.19639
0.95691,0,0.29226
0.95133,0,0.35958
1.0018,0,0.4467
1.2211,0.0083333,0.3106
1.5684,2.7917,0.25588
1.5119,5.1333,0.20864
1.3449,8.7167,0.082256
1.3433,9.9917,0.07936
1.4243,10.333,0.090289
1.3583,8.975,0.065532
1.3303,7.9667,0.039141
1.3331,4.4583,0.084507
1.4143,1.75,0.14296
1.6853,0,0.13053
2.2431,0,0.12482
2.529,0,0.093972
2.4847,0,0.13334
2.3341,0,0.17674
2.1679,0,0.22745
1.8467,0,0.40234
1.526,0,0.45627
1.2039,0,0.54825
1.0802,0,0.50468
1.0338,0,0.53372
1.0275,0,0.48278
1.0293,0,0.63912
1.0874,0,0.81819
1.3377,0,0.92932
1.6302,0.083333,0.64754
1.5872,0.53333,0.60985
1.4138,0.925,0.56625
1.4088,1.125,0.60688
1.5004,0.70833,0.38703
1.4288,0.95833,0.435
1.4014,2.2,0.39814
1.4052,0,0.36401
1.4825,0,0.51977
1.7515,0,0.48171
2.3131,0,0.3056
2.5921,0,0.40507
2.5484,0,0.17191
2.3976,0,0.021748
2.234,0,0
1.9249,0,0.0019332
1.6221,0,0.04693
1.316,0,0.16515
1.1926,0,0.031425
1.1451,0,0.013843
1.1379,0,0.036834
1.1405,0,0.0075907
1.2007,0,0.012605
1.4183,0.0083333,0.0067687
1.7561,3.425,0.0028722
1.6939,7.0417,0.042414
1.5185,9.05,0.030548
1.5111,10.1,0.0079424
1.5312,10.758,0.0077639
1.5193,10.45,0.021822
1.4991,9.1083,0.015157
1.5028,6.05,0.068465
1.5756,2.375,0.022134
1.8406,0,0.0050777
2.3231,0,0
2.6531,0,0
2.61,0,0.015329
2.4494,0,0.45229
2.2712,0,0.80768
1.9467,0,0.90662
1.6277,0,0.88101
1.3124,0,0.71936
1.182,0,0.85892
1.1294,0,0.7455
1.1096,0,0.99603
1.0985,0,0.83219
1.1437,0,0.9003
1.3876,0,0.77982
1.6768,3.2333,0.81523
1.6301,6.7583,0.77485
1.4506,8.5667,0.80746
1.5056,9.8083,0.78164
1.4644,10.658,0.7654
1.4365,10.575,0.61582
1.4087,9.1,0.53853
1.4086,6.45,0.62183
1.4729,2.7167,0.85068
1.7255,0.0083333,0.57388
2.2593,0,0.63892
2.5361,0,0.28855
2.4806,0,0.35193
2.3183,0,0.23692
2.1399,0,0.31305
1.8159,0,0.30523
1.498,0,0.47357
1.1836,0,0.68163
1.0559,0,0.65275
1.0033,0,0.54555
0.98991,0,0.45038
0.98408,0,0.42593
1.0344,0,0.22776
1.2463,0,0.22664
1.5759,2.4583,0.30481
1.5055,4.0333,0.29071
1.3234,2.675,0.45684
1.3148,8.275,0.47096
1.3325,11.017,0.54936
1.3185,10.742,0.7821
1.2975,9.725,0.82137
1.301,6.6167,0.68808
1.3774,2.8167,0.47539
1.6426,0.016667,0.69552
2.1908,0,0.47648
2.5361,0,0.4373
2.4354,0,0.4363
2.2672,0,0.45891
2.0936,0,0.31413
1.7768,0,0.245
1.467,0,0.33747
1.1544,0,0.39554
1.0209,0,0.35619
0.96508,0,0.42512
0.94639,0,0.35252
0.93589,0,0.35767
0.9797,0,0.12019
1.2122,0,0.01317
1.4998,3.5,0.0055518
1.4454,7.25,7.9877e-05
1.2652,9.375,0.00016452
1.2559,11.008,0
1.3279,10.758,0
1.2687,8.4,0.0068231
1.2443,4.7167,0.063105
1.2531,0.7,0.25014
1.3333,0.041667,0.22727
1.6032,0,0.18411
2.1529,0,0.062885
2.4481,0,0.08896
2.4084,0,0.15525
2.2617,0,0.24346
2.0973,0,0.29516
1.7856,0,0.34956
1.4818,0,0.47059
1.1797,0,0.53812
1.0535,0,0.48147
1.005,0,0.39493
0.98775,0,0.43055
0.97623,0,0.65401
1.0205,0,0.1751
1.2625,0,0.45634
1.5573,3.4583,0.60517
1.5136,6.65,0.70601
1.3454,7.6583,0.7529
1.4004,9.3333,0.86068
1.3687,8.7667,0.77024
1.3406,7.8083,0.92384
1.3141,8.2083,0.83382
1.3142,6.075,0.69842
1.3845,2.875,0.72504
1.6437,0.016667,0.6289
2.1231,0,0.51014
2.514,0,0.75947
2.4206,0,0.59291
2.254,0,0.49026
2.0847,0,0.5368
1.7648,0,0.52042
1.4479,0,0.57535
1.1334,0,0.45265
1.0093,0,0.33187
0.96309,0,0.20312
0.95705,0,0.3774
0.9634,0,0.58715
1.025,0,0.55459
1.2775,0.0083333,0.6163
1.6074,3.3667,0.71737
1.549,7.1167,0.62935
1.3855,9.625,0.82776
1.4553,10.483,0.70995
1.4279,10.3,0.69018
1.4027,10.15,0.49674
1.3781,9.4417,0.76026
1.3801,6.9417,0.54311
1.4507,3.1917,0.27688
1.7101,0.041667,0.27717
2.2565,0,0.18448
2.5388,0,0.19595
2.494,0,0.14774
2.3433,0,0.16826
2.1874,0,0.21242
1.8794,0,0.31562
1.5747,0,0.24656
1.2576,0,0.19725
1.1385,0,0.19746
1.0951,0,0.17677
1.0824,0,0.25569
1.0749,0,0.46062
1.1223,0,0.39136
1.3622,0,0.45624
1.6478,3.3,0.42512
1.596,6.6333,0.41191
1.4139,9.575,0.44506
1.4649,11.092,0.46999
1.4236,11.075,0.36222
1.3972,10.225,0.30312
1.3737,9.1,0.26118
1.3765,5.85,0.24942
1.4468,2.6583,0.48192
1.7062,0.091667,0.4282
2.238,0,0.33282
2.5788,0,0.23093
2.4807,0,0.2806
2.3091,0,0.24463
2.133,0,0.66808
1.8108,0,0.83293
1.4917,0,0.49828
1.1845,0,0.46471
1.0627,0,0.29331
1.0192,0,0.33514
